Prompts,CodigosCIE,codigosCIE10_pred
pain when speaking,R68.84,R05
discomfort during talking,R68.84,R12
pain when chewing,R68.84,"R25.8, K04.1, R02, R25.4, R25.6, R25.5, R25.3, R25.2"
discomfort during chewing,R68.84,K03.4
anxiety,"F41.0,R06.0","G40.0, F41.2, F41.0, F41.3, F41.1, F41.5, F41.8, F41.4"
apprehension,"F41.0,R06.0",
panic,"F41.0,R06.0","R51.9, R43.1"
distress,"F41.0,R06.0",
changes in heart rate,"R00.0,R00.8","I47.0, I45.9"
variations in heart,"R00.0,R00.8","I45.0, I46.0, I47.0, I48.9"
changes in blood pressure,I95.1,"I11, I12, I10, I15, I13, I25"
variations in blood pressure,I95.1,"I12, I10, I11"
tachycardia,"R00.0,R00.8",I47
rapid heartbeat,"R00.0,R00.8",I45.9
postural hypotension.,I95.1,R53
orthostatic hypotension.,I95.1,R53.8
changes in taste sensitivity,R43.2,R52.0
alterations in taste sensitivity,R43.2,"R12.2, R12.0, R12.1"
decreased taste perception,R43.2,R40.1
diminished taste awareness,R43.2,R54.2
hyporeflexia,R29.2,G81.2
reduced reflex responses,R29.2,G81.2
nasal congestion,R09.81,R05
nasal blockage,R09.81,R05
frequent sneezing,R06.7,"J30.9, J30.8, J30.0, J30.1"
sneezing,R06.7,R05
constant fatigue,R53.82,Z72.5
continual tiredness,R53.82,
unexplained weight gain,R63.5,"E78.6, Z87, E78.5, E85, E66.0"
inexplicable increase in weight,R63.5,"Z68, E74, E66"
dry skin,L85.3,L25.0
parched skin,L85.3,T25.9
abdominal pain,"R10.0,R10.817,R10.819,R10.84,R10.9","R10.2, R10.0, R10.1"
abdominal discomfort,"R10.0,R10.817,R10.819,R10.84,R10.9","R10.2, Z99"
heartburn,E87.20,"R12.2, R11.0"
acid reflux,E87.20,"Z01, R11.0"
nausea,R11.0,"Z92, R11.0"
queasiness,R11.0,"R10.0, Z92"
sharp pain in the right knee,M25.561,"M54.5, M54.3"
acute discomfort in the right knee,M25.561,M54.5
swelling,R60.9,"C19, C22, C24, C21, C17, C15, C06, C23, C12, C13, C20, C14, C10, C11, C07, C16, C18, C08, C09"
inflammation,R60.9,"M09, M14, J67, K52, R58.9, K85, J68, M05, K77, K76, K86, J40, M60, M85, M53, M00, J47, M65, K61, M45"
