Prompts,CodigosCIE,codigosCIE10_pred
dysfunction of the laryngeal muscles,J38.00,"R11.0, R05.1"
difficulty maintaining an adequate body temperature,R68.0,Z92
challenges in maintaining a suitable body temperature,R68.0,"Z87.1, Z87"
excessive sweating,R61,"R25.0, R25.2"
spells of profuse sweating,R61,"R11.0, R11.1"
difficulties in falling asleep,G47.00,"G47.3, Z75.5"
struggles with insomnia,G47.00,G47.0
difficulties  maintaining restful sleep,G47.00,"G47.3, Z76.5"
struggles maintaining peaceful sleep,G47.00,G47.3
dizziness,R42,G04.0
lighthededness,R42,R22.3
vertigo,H81.09,G05.1
spining sensation,H81.09,R43.1
temporomandibular joint problems,M26.609,"K07.0, K07.1"
temporomandibular joint issues,M26.609,"K07.0, K07.1"
difficulty in opening or closing the mouth completely,M26.609,G52.4
challenges in fully opening or closing the mout,M26.609,G52.4
pain when speaking,R68.84,R52
discomfort during talking,R68.84,"Z79, N52"
pain when chewing,R68.84,"K02.0, K10.4"
discomfort during chewing,R68.84,K02
anxiety,"F41.0,R06.0","F41.2, F41.3, F41.9, F41.1, F41.0"
apprehension,"F41.0,R06.0",
panic,"F41.0,R06.0",
distress,"F41.0,R06.0","J81.8, J81.0, F43.9, J80.8, F43.1, F45.9, F46.9, F43.8, F40, F47.9, F48.1, F44.0, F42.0, F48.9, J80.2, F44.1, F47.0, F41.1, F41.0, J80.3, J82.0, F44.9, F46.1, J81.9, F46.0, F47.1, F45.0, J80.9, J82, J80.1, F45.1, F41.9, J81.1, F42.1, F42.9, F48.0, J80.0"
changes in heart rate,"R00.0,R00.8","I45.9, I47.0"
variations in heart,"R00.0,R00.8","I51, I35.0, I35, I48, I39"
changes in blood pressure,I95.1,"I13, I12, I15, I10, I25, I11"
variations in blood pressure,I95.1,"I12, I11, I10"
tachycardia,"R00.0,R00.8","I48.5, I47, G46"
rapid heartbeat,"R00.0,R00.8","I45.9, I47"
postural hypotension.,I95.1,R52.0
orthostatic hypotension.,I95.1,R53.8
changes in taste sensitivity,R43.2,R54
alterations in taste sensitivity,R43.2,R10.4
decreased taste perception,R43.2,R45
diminished taste awareness,R43.2,"Z03.3, R54"
hyporeflexia,R29.2,G81.2
reduced reflex responses,R29.2,M47
nasal congestion,R09.81,"K01.9, R45"
nasal blockage,R09.81,"R41.3, R05.0"
frequent sneezing,R06.7,"Z00, R45"
sneezing,R06.7,"R00.2, K21.0, R00.5, R00.6, K21.6, R00.4, K21.3, K21.2, R00.8, K21.5, R00.3, R00.1, K21.8, R00.0, R00.9, R05, K21.1, R00.7, K21.4, K21.9"
constant fatigue,R53.82,Z72.5
continual tiredness,R53.82,
unexplained weight gain,R63.5,"E72.6, E67.4, Z92.2"
inexplicable increase in weight,R63.5,E66.0
dry skin,L85.3,"E04.9, L25.0, X41.9"
parched skin,L85.3,T40.1
abdominal pain,"R10.0,R10.817,R10.819,R10.84,R10.9","R10.0, R10.1"
abdominal discomfort,"R10.0,R10.817,R10.819,R10.84,R10.9","R10.2, Z99"
heartburn,E87.20,"Z04.4, R12.0"
acid reflux,E87.20,
nausea,R11.0,"Z92, R11.0"
queasiness,R11.0,R11.0
sharp pain in the right knee,M25.561,M54
acute discomfort in the right knee,M25.561,M54
swelling,R60.9,
inflammation,R60.9,
