Code,Description
A08.11,acute gastroenteropathy due to norwalk agent
A08.19,acute gastroenteropathy due to other small round viruses
A08.2,adenoviral enteritis
A08.31,calicivirus enteritis
A08.32,astrovirus enteritis
A08.39,other viral enteritis
A08.4,"viral intestinal infection, unspecified"
A08.8,other specified intestinal infections
A09,"infectious gastroenteritis and colitis, unspecified"
A15.0,tuberculosis of lung
A15.4,tuberculosis of intrathoracic lymph nodes
A15.5,"tuberculosis of larynx, trachea and bronchus"
A15.6,tuberculous pleurisy
A15.7,primary respiratory tuberculosis
A15.8,other respiratory tuberculosis
A15.9,respiratory tuberculosis unspecified
A17.0,tuberculous meningitis
A17.1,meningeal tuberculoma
A17.81,tuberculoma of brain and spinal cord
A17.82,tuberculous meningoencephalitis
A17.83,tuberculous neuritis
A17.89,other tuberculosis of nervous system
A17.9,"tuberculosis of nervous system, unspecified"
A18.01,tuberculosis of spine
A18.02,tuberculous arthritis of other joints
A18.03,tuberculosis of other bones
A18.09,other musculoskeletal tuberculosis
A18.10,"tuberculosis of genitourinary system, unspecified"
A18.11,tuberculosis of kidney and ureter
A18.12,tuberculosis of bladder
A18.13,tuberculosis of other urinary organs
A18.14,tuberculosis of prostate
A18.15,tuberculosis of other male genital organs
A18.16,tuberculosis of cervix
A18.17,tuberculous female pelvic inflammatory disease
A18.18,tuberculosis of other female genital organs
A18.2,tuberculous peripheral lymphadenopathy
A18.31,tuberculous peritonitis
A18.32,tuberculous enteritis
A18.39,retroperitoneal tuberculosis
A18.4,tuberculosis of skin and subcutaneous tissue
A18.50,"tuberculosis of eye, unspecified"
A18.51,tuberculous episcleritis
A18.52,tuberculous keratitis
A18.53,tuberculous chorioretinitis
A18.54,tuberculous iridocyclitis
A18.59,other tuberculosis of eye
A18.6,tuberculosis of (inner) (middle) ear
A18.7,tuberculosis of adrenal glands
A18.81,tuberculosis of thyroid gland
A18.82,tuberculosis of other endocrine glands
A18.83,"tuberculosis of digestive tract organs, not elsewhere classified"
A18.84,tuberculosis of heart
A18.85,tuberculosis of spleen
A18.89,tuberculosis of other sites
A19.0,acute miliary tuberculosis of a single specified site
A19.1,acute miliary tuberculosis of multiple sites
A19.2,"acute miliary tuberculosis, unspecified"
A19.8,other miliary tuberculosis
A19.9,"miliary tuberculosis, unspecified"
A20.0,bubonic plague
A20.1,cellulocutaneous plague
A20.2,pneumonic plague
A20.3,plague meningitis
A20.7,septicemic plague
A20.8,other forms of plague
A20.9,"plague, unspecified"
A21.0,ulceroglandular tularemia
A21.1,oculoglandular tularemia
A21.2,pulmonary tularemia
A21.3,gastrointestinal tularemia
A21.7,generalized tularemia
A21.8,other forms of tularemia
A21.9,"tularemia, unspecified"
A22.0,cutaneous anthrax
A22.1,pulmonary anthrax
A22.2,gastrointestinal anthrax
A22.7,anthrax sepsis
A22.8,other forms of anthrax
A22.9,"anthrax, unspecified"
A23.0,brucellosis due to brucella melitensis
A23.1,brucellosis due to brucella abortus
A23.2,brucellosis due to brucella suis
A23.3,brucellosis due to brucella canis
A23.8,other brucellosis
A23.9,"brucellosis, unspecified"
A24.0,glanders
A24.1,acute and fulminating melioidosis
A24.2,subacute and chronic melioidosis
A24.3,other melioidosis
A24.9,"melioidosis, unspecified"
A25.0,spirillosis
A25.1,streptobacillosis
A25.9,"rat-bite fever, unspecified"
A26.0,cutaneous erysipeloid
A26.7,erysipelothrix sepsis
A26.8,other forms of erysipeloid
A26.9,"erysipeloid, unspecified"
A27.0,leptospirosis icterohemorrhagica
A27.81,aseptic meningitis in leptospirosis
A27.89,other forms of leptospirosis
A27.9,"leptospirosis, unspecified"
A28.0,pasteurellosis
A28.1,cat-scratch disease
A28.2,extraintestinal yersiniosis
A28.8,"other specified zoonotic bacterial diseases, not elsewhere classified"
A28.9,"zoonotic bacterial disease, unspecified"
A30.0,indeterminate leprosy
A30.1,tuberculoid leprosy
A30.2,borderline tuberculoid leprosy
A30.3,borderline leprosy
A30.4,borderline lepromatous leprosy
A30.5,lepromatous leprosy
A30.8,other forms of leprosy
A30.9,"leprosy, unspecified"
A31.0,pulmonary mycobacterial infection
A31.1,cutaneous mycobacterial infection
A31.2,disseminated mycobacterium avium-intracellulare complex (dmac)
A31.8,other mycobacterial infections
A31.9,"mycobacterial infection, unspecified"
A32.0,cutaneous listeriosis
A32.11,listerial meningitis
A32.12,listerial meningoencephalitis
A32.7,listerial sepsis
A32.81,oculoglandular listeriosis
A32.82,listerial endocarditis
A32.89,other forms of listeriosis
A32.9,"listeriosis, unspecified"
A33,tetanus neonatorum
A34,obstetrical tetanus
A35,other tetanus
A36.0,pharyngeal diphtheria
A36.1,nasopharyngeal diphtheria
A36.2,laryngeal diphtheria
A36.3,cutaneous diphtheria
A36.81,diphtheritic cardiomyopathy
A36.82,diphtheritic radiculomyelitis
A36.83,diphtheritic polyneuritis
A36.84,diphtheritic tubulo-interstitial nephropathy
A36.85,diphtheritic cystitis
A36.86,diphtheritic conjunctivitis
A36.89,other diphtheritic complications
A36.9,"diphtheria, unspecified"
A37.00,whooping cough due to bordetella pertussis without pneumonia
A37.01,whooping cough due to bordetella pertussis with pneumonia
A37.10,whooping cough due to bordetella parapertussis without pneumonia
A37.11,whooping cough due to bordetella parapertussis with pneumonia
A37.80,whooping cough due to other bordetella species without pneumonia
A37.81,whooping cough due to other bordetella species with pneumonia
A37.90,"whooping cough, unspecified species without pneumonia"
A37.91,"whooping cough, unspecified species with pneumonia"
A38.0,scarlet fever with otitis media
A38.1,scarlet fever with myocarditis
A38.8,scarlet fever with other complications
A38.9,"scarlet fever, uncomplicated"
A39.0,meningococcal meningitis
A39.1,waterhouse-friderichsen syndrome
A39.2,acute meningococcemia
A39.3,chronic meningococcemia
A39.4,"meningococcemia, unspecified"
A39.50,"meningococcal carditis, unspecified"
A39.51,meningococcal endocarditis
A39.52,meningococcal myocarditis
A39.53,meningococcal pericarditis
A39.81,meningococcal encephalitis
A39.82,meningococcal retrobulbar neuritis
A39.83,meningococcal arthritis
A39.84,postmeningococcal arthritis
A39.89,other meningococcal infections
A39.9,"meningococcal infection, unspecified"
A40.0,"sepsis due to streptococcus, group a"
A40.1,"sepsis due to streptococcus, group b"
A40.3,sepsis due to streptococcus pneumoniae
A40.8,other streptococcal sepsis
A40.9,"streptococcal sepsis, unspecified"
A41.01,sepsis due to methicillin susceptible staphylococcus aureus
A41.02,sepsis due to methicillin resistant staphylococcus aureus
A41.1,sepsis due to other specified staphylococcus
A41.2,sepsis due to unspecified staphylococcus
A41.3,sepsis due to hemophilus influenzae
A41.4,sepsis due to anaerobes
A41.50,"gram-negative sepsis, unspecified"
A41.51,sepsis due to escherichia coli [e. coli]
A41.52,sepsis due to pseudomonas
A41.53,sepsis due to serratia
A41.54,sepsis due to acinetobacter baumannii
A41.59,other gram-negative sepsis
A41.81,sepsis due to enterococcus
A41.89,other specified sepsis
A41.9,"sepsis, unspecified organism"
A42.0,pulmonary actinomycosis
A42.1,abdominal actinomycosis
A42.2,cervicofacial actinomycosis
A42.7,actinomycotic sepsis
A42.81,actinomycotic meningitis
A42.82,actinomycotic encephalitis
A42.89,other forms of actinomycosis
A42.9,"actinomycosis, unspecified"
A43.0,pulmonary nocardiosis
A43.1,cutaneous nocardiosis
A43.8,other forms of nocardiosis
A43.9,"nocardiosis, unspecified"
A44.0,systemic bartonellosis
A44.1,cutaneous and mucocutaneous bartonellosis
A44.8,other forms of bartonellosis
A44.9,"bartonellosis, unspecified"
A46,erysipelas
A48.0,gas gangrene
A48.1,legionnaires' disease
A48.2,nonpneumonic legionnaires' disease [pontiac fever]
A48.3,toxic shock syndrome
A48.4,brazilian purpuric fever
A48.51,infant botulism
A48.52,wound botulism
A48.8,other specified bacterial diseases
A49.01,"methicillin susceptible staphylococcus aureus infection, unspecified site"
A49.02,"methicillin resistant staphylococcus aureus infection, unspecified site"
A49.1,"streptococcal infection, unspecified site"
A49.2,"hemophilus influenzae infection, unspecified site"
A49.3,"mycoplasma infection, unspecified site"
A49.8,other bacterial infections of unspecified site
A49.9,"bacterial infection, unspecified"
A50.01,early congenital syphilitic oculopathy
A50.02,early congenital syphilitic osteochondropathy
A50.03,early congenital syphilitic pharyngitis
A50.04,early congenital syphilitic pneumonia
A50.05,early congenital syphilitic rhinitis
A50.06,early cutaneous congenital syphilis
A50.07,early mucocutaneous congenital syphilis
A50.08,early visceral congenital syphilis
A50.09,"other early congenital syphilis, symptomatic"
A50.1,"early congenital syphilis, latent"
A50.2,"early congenital syphilis, unspecified"
A50.30,"late congenital syphilitic oculopathy, unspecified"
A50.31,late congenital syphilitic interstitial keratitis
A50.32,late congenital syphilitic chorioretinitis
A50.39,other late congenital syphilitic oculopathy
A50.40,"late congenital neurosyphilis, unspecified"
A50.41,late congenital syphilitic meningitis
A50.42,late congenital syphilitic encephalitis
A50.43,late congenital syphilitic polyneuropathy
A50.44,late congenital syphilitic optic nerve atrophy
A50.45,juvenile general paresis
A50.49,other late congenital neurosyphilis
A50.51,clutton's joints
A50.52,hutchinson's teeth
A50.53,hutchinson's triad
A50.54,late congenital cardiovascular syphilis
A50.55,late congenital syphilitic arthropathy
A50.56,late congenital syphilitic osteochondropathy
A50.57,syphilitic saddle nose
A50.59,"other late congenital syphilis, symptomatic"
A50.6,"late congenital syphilis, latent"
A50.7,"late congenital syphilis, unspecified"
A50.9,"congenital syphilis, unspecified"
A51.0,primary genital syphilis
A51.1,primary anal syphilis
A51.2,primary syphilis of other sites
A51.31,condyloma latum
A51.32,syphilitic alopecia
A51.39,other secondary syphilis of skin
A51.41,secondary syphilitic meningitis
A51.42,secondary syphilitic female pelvic disease
A51.43,secondary syphilitic oculopathy
A51.44,secondary syphilitic nephritis
A51.45,secondary syphilitic hepatitis
A51.46,secondary syphilitic osteopathy
A51.49,other secondary syphilitic conditions
A51.5,"early syphilis, latent"
A51.9,"early syphilis, unspecified"
A52.00,"cardiovascular syphilis, unspecified"
A52.01,syphilitic aneurysm of aorta
A52.02,syphilitic aortitis
A52.03,syphilitic endocarditis
A52.04,syphilitic cerebral arteritis
A52.05,other cerebrovascular syphilis
A52.06,other syphilitic heart involvement
A52.09,other cardiovascular syphilis
A52.10,"symptomatic neurosyphilis, unspecified"
A52.11,tabes dorsalis
A52.12,other cerebrospinal syphilis
A52.13,late syphilitic meningitis
A52.14,late syphilitic encephalitis
A52.15,late syphilitic neuropathy
A52.16,charcot's arthropathy (tabetic)
A52.17,general paresis
A52.19,other symptomatic neurosyphilis
A52.2,asymptomatic neurosyphilis
A52.3,"neurosyphilis, unspecified"
A52.71,late syphilitic oculopathy
A52.72,syphilis of lung and bronchus
A52.73,symptomatic late syphilis of other respiratory organs
A52.74,syphilis of liver and other viscera
A52.75,syphilis of kidney and ureter
A52.76,other genitourinary symptomatic late syphilis
A52.77,syphilis of bone and joint
A52.78,syphilis of other musculoskeletal tissue
A52.79,other symptomatic late syphilis
A52.8,"late syphilis, latent"
A52.9,"late syphilis, unspecified"
A53.0,"latent syphilis, unspecified as early or late"
A53.9,"syphilis, unspecified"
A54.00,"gonococcal infection of lower genitourinary tract, unspecified"
A54.01,"gonococcal cystitis and urethritis, unspecified"
A54.02,"gonococcal vulvovaginitis, unspecified"
A54.03,"gonococcal cervicitis, unspecified"
A54.09,other gonococcal infection of lower genitourinary tract
A54.1,gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A54.21,gonococcal infection of kidney and ureter
A54.22,gonococcal prostatitis
A54.23,gonococcal infection of other male genital organs
A54.24,gonococcal female pelvic inflammatory disease
A54.29,other gonococcal genitourinary infections
A54.30,"gonococcal infection of eye, unspecified"
A54.31,gonococcal conjunctivitis
A54.32,gonococcal iridocyclitis
A54.33,gonococcal keratitis
A54.39,other gonococcal eye infection
A54.40,"gonococcal infection of musculoskeletal system, unspecified"
A54.41,gonococcal spondylopathy
A54.42,gonococcal arthritis
A54.43,gonococcal osteomyelitis
A54.49,gonococcal infection of other musculoskeletal tissue
A54.5,gonococcal pharyngitis
A54.6,gonococcal infection of anus and rectum
A54.81,gonococcal meningitis
A54.82,gonococcal brain abscess
A54.83,gonococcal heart infection
A54.84,gonococcal pneumonia
A54.85,gonococcal peritonitis
A54.86,gonococcal sepsis
A54.89,other gonococcal infections
A54.9,"gonococcal infection, unspecified"
A55,chlamydial lymphogranuloma (venereum)
A56.00,"chlamydial infection of lower genitourinary tract, unspecified"
A56.01,chlamydial cystitis and urethritis
A56.02,chlamydial vulvovaginitis
A56.09,other chlamydial infection of lower genitourinary tract
A56.11,chlamydial female pelvic inflammatory disease
A56.19,other chlamydial genitourinary infection
A56.2,"chlamydial infection of genitourinary tract, unspecified"
A56.3,chlamydial infection of anus and rectum
A56.4,chlamydial infection of pharynx
A56.8,sexually transmitted chlamydial infection of other sites
A57,chancroid
A58,granuloma inguinale
A59.00,"urogenital trichomoniasis, unspecified"
A59.01,trichomonal vulvovaginitis
A59.02,trichomonal prostatitis
A59.03,trichomonal cystitis and urethritis
A59.09,other urogenital trichomoniasis
A59.8,trichomoniasis of other sites
A59.9,"trichomoniasis, unspecified"
A60.00,"herpesviral infection of urogenital system, unspecified"
A60.01,herpesviral infection of penis
A60.02,herpesviral infection of other male genital organs
A60.03,herpesviral cervicitis
A60.04,herpesviral vulvovaginitis
A60.09,herpesviral infection of other urogenital tract
A60.1,herpesviral infection of perianal skin and rectum
A60.9,"anogenital herpesviral infection, unspecified"
A63.0,anogenital (venereal) warts
A63.8,other specified predominantly sexually transmitted diseases
A64,unspecified sexually transmitted disease
A65,nonvenereal syphilis
A66.0,initial lesions of yaws
A66.1,multiple papillomata and wet crab yaws
A66.2,other early skin lesions of yaws
A66.3,hyperkeratosis of yaws
A66.4,gummata and ulcers of yaws
A66.5,gangosa
A66.6,bone and joint lesions of yaws
A66.7,other manifestations of yaws
A66.8,latent yaws
A66.9,"yaws, unspecified"
A67.0,primary lesions of pinta
A67.1,intermediate lesions of pinta
A67.2,late lesions of pinta
A67.3,mixed lesions of pinta
A67.9,"pinta, unspecified"
A68.0,louse-borne relapsing fever
A68.1,tick-borne relapsing fever
A68.9,"relapsing fever, unspecified"
A69.0,necrotizing ulcerative stomatitis
A69.1,other vincent's infections
A69.20,"lyme disease, unspecified"
A69.21,meningitis due to lyme disease
A69.22,other neurologic disorders in lyme disease
A69.23,arthritis due to lyme disease
A69.29,other conditions associated with lyme disease
A69.8,other specified spirochetal infections
A69.9,"spirochetal infection, unspecified"
A70,chlamydia psittaci infections
A71.0,initial stage of trachoma
A71.1,active stage of trachoma
A71.9,"trachoma, unspecified"
A74.0,chlamydial conjunctivitis
A74.81,chlamydial peritonitis
A74.89,other chlamydial diseases
A74.9,"chlamydial infection, unspecified"
A75.0,epidemic louse-borne typhus fever due to rickettsia prowazekii
A75.1,recrudescent typhus [brill's disease]
A75.2,typhus fever due to rickettsia typhi
A75.3,typhus fever due to rickettsia tsutsugamushi
A75.9,"typhus fever, unspecified"
A77.0,spotted fever due to rickettsia rickettsii
A77.1,spotted fever due to rickettsia conorii
A77.2,spotted fever due to rickettsia siberica
A77.3,spotted fever due to rickettsia australis
A77.40,"ehrlichiosis, unspecified"
A77.41,ehrlichiosis chafeensis [e. chafeensis]
A77.49,other ehrlichiosis
A77.8,other spotted fevers
A77.9,"spotted fever, unspecified"
A78,q fever
A79.0,trench fever
A79.1,rickettsialpox due to rickettsia akari
A79.81,rickettsiosis due to ehrlichia sennetsu
A79.82,anaplasmosis [a. phagocytophilum]
A79.89,other specified rickettsioses
A79.9,"rickettsiosis, unspecified"
A80.0,"acute paralytic poliomyelitis, vaccine-associated"
A80.1,"acute paralytic poliomyelitis, wild virus, imported"
A80.2,"acute paralytic poliomyelitis, wild virus, indigenous"
A80.30,"acute paralytic poliomyelitis, unspecified"
A80.39,other acute paralytic poliomyelitis
A80.4,acute nonparalytic poliomyelitis
A80.9,"acute poliomyelitis, unspecified"
A81.00,"creutzfeldt-jakob disease, unspecified"
A81.01,variant creutzfeldt-jakob disease
A81.09,other creutzfeldt-jakob disease
A81.1,subacute sclerosing panencephalitis
A81.2,progressive multifocal leukoencephalopathy
A81.81,kuru
A81.82,gerstmann-straussler-scheinker syndrome
A81.83,fatal familial insomnia
A81.89,other atypical virus infections of central nervous system
A81.9,"atypical virus infection of central nervous system, unspecified"
A82.0,sylvatic rabies
A82.1,urban rabies
A82.9,"rabies, unspecified"
A83.0,japanese encephalitis
A83.1,western equine encephalitis
A83.2,eastern equine encephalitis
A83.3,st louis encephalitis
A83.4,australian encephalitis
A83.5,california encephalitis
A83.6,rocio virus disease
A83.8,other mosquito-borne viral encephalitis
A83.9,"mosquito-borne viral encephalitis, unspecified"
A84.0,far eastern tick-borne encephalitis [russian spring-summer encephalitis]
A84.1,central european tick-borne encephalitis
A84.81,powassan virus disease
A84.89,other tick-borne viral encephalitis
A84.9,"tick-borne viral encephalitis, unspecified"
A85.0,enteroviral encephalitis
A85.1,adenoviral encephalitis
A85.2,"arthropod-borne viral encephalitis, unspecified"
A85.8,other specified viral encephalitis
A86,unspecified viral encephalitis
A87.0,enteroviral meningitis
A87.1,adenoviral meningitis
A87.2,lymphocytic choriomeningitis
A87.8,other viral meningitis
A87.9,"viral meningitis, unspecified"
A88.0,enteroviral exanthematous fever [boston exanthem]
A88.1,epidemic vertigo
A88.8,other specified viral infections of central nervous system
A89,unspecified viral infection of central nervous system
A90,dengue fever [classical dengue]
A91,dengue hemorrhagic fever
A92.0,chikungunya virus disease
A92.1,o'nyong-nyong fever
A92.2,venezuelan equine fever
A92.30,"west nile virus infection, unspecified"
A92.31,west nile virus infection with encephalitis
A92.32,west nile virus infection with other neurologic manifestation
A92.39,west nile virus infection with other complications
A92.4,rift valley fever
A92.5,zika virus disease
A92.8,other specified mosquito-borne viral fevers
A92.9,"mosquito-borne viral fever, unspecified"
A93.0,oropouche virus disease
A93.1,sandfly fever
A93.2,colorado tick fever
A93.8,other specified arthropod-borne viral fevers
A94,unspecified arthropod-borne viral fever
A95.0,sylvatic yellow fever
A95.1,urban yellow fever
A95.9,"yellow fever, unspecified"
A96.0,junin hemorrhagic fever
A96.1,machupo hemorrhagic fever
A96.2,lassa fever
A96.8,other arenaviral hemorrhagic fevers
A96.9,"arenaviral hemorrhagic fever, unspecified"
A98.0,crimean-congo hemorrhagic fever
A98.1,omsk hemorrhagic fever
A98.2,kyasanur forest disease
A98.3,marburg virus disease
A98.4,ebola virus disease
A98.5,hemorrhagic fever with renal syndrome
A98.8,other specified viral hemorrhagic fevers
A99,unspecified viral hemorrhagic fever
B00.0,eczema herpeticum
B00.1,herpesviral vesicular dermatitis
B00.2,herpesviral gingivostomatitis and pharyngotonsillitis
B00.3,herpesviral meningitis
B00.4,herpesviral encephalitis
B00.50,"herpesviral ocular disease, unspecified"
B00.51,herpesviral iridocyclitis
B00.52,herpesviral keratitis
B00.53,herpesviral conjunctivitis
B00.59,other herpesviral disease of eye
B00.7,disseminated herpesviral disease
B00.81,herpesviral hepatitis
B00.82,herpes simplex myelitis
B00.89,other herpesviral infection
B00.9,"herpesviral infection, unspecified"
B01.0,varicella meningitis
B01.11,varicella encephalitis and encephalomyelitis
B01.12,varicella myelitis
B01.2,varicella pneumonia
B01.81,varicella keratitis
B01.89,other varicella complications
B01.9,varicella without complication
B02.0,zoster encephalitis
B02.1,zoster meningitis
B02.21,postherpetic geniculate ganglionitis
B02.22,postherpetic trigeminal neuralgia
B02.23,postherpetic polyneuropathy
B02.24,postherpetic myelitis
B02.29,other postherpetic nervous system involvement
B02.30,"zoster ocular disease, unspecified"
B02.31,zoster conjunctivitis
B02.32,zoster iridocyclitis
B02.33,zoster keratitis
B02.34,zoster scleritis
B02.39,other herpes zoster eye disease
B02.7,disseminated zoster
B02.8,zoster with other complications
B02.9,zoster without complications
B03,smallpox
B04,monkeypox
B05.0,measles complicated by encephalitis
B05.1,measles complicated by meningitis
B05.2,measles complicated by pneumonia
B05.3,measles complicated by otitis media
B05.4,measles with intestinal complications
B05.81,measles keratitis and keratoconjunctivitis
B05.89,other measles complications
B05.9,measles without complication
B06.00,"rubella with neurological complication, unspecified"
B06.01,rubella encephalitis
B06.02,rubella meningitis
B06.09,other neurological complications of rubella
B06.81,rubella pneumonia
B06.82,rubella arthritis
B06.89,other rubella complications
B06.9,rubella without complication
B07.0,plantar wart
B07.8,other viral warts
B07.9,"viral wart, unspecified"
B08.010,cowpox
B08.011,vaccinia not from vaccine
B08.02,orf virus disease
B08.03,pseudocowpox [milker's node]
B08.04,"paravaccinia, unspecified"
B08.09,other orthopoxvirus infections
B08.1,molluscum contagiosum
B08.20,"exanthema subitum [sixth disease], unspecified"
B08.21,exanthema subitum [sixth disease] due to human herpesvirus 6
B08.22,exanthema subitum [sixth disease] due to human herpesvirus 7
B08.3,erythema infectiosum [fifth disease]
B08.4,enteroviral vesicular stomatitis with exanthem
B08.5,enteroviral vesicular pharyngitis
B08.60,"parapoxvirus infection, unspecified"
B08.61,bovine stomatitis
B08.62,sealpox
B08.69,other parapoxvirus infections
B08.70,"yatapoxvirus infection, unspecified"
B08.71,tanapox virus disease
B08.72,yaba pox virus disease
B08.79,other yatapoxvirus infections
B08.8,other specified viral infections characterized by skin and mucous membrane lesions
B09,unspecified viral infection characterized by skin and mucous membrane lesions
B10.01,human herpesvirus 6 encephalitis
B10.09,other human herpesvirus encephalitis
B10.81,human herpesvirus 6 infection
B10.82,human herpesvirus 7 infection
B10.89,other human herpesvirus infection
B15.0,hepatitis a with hepatic coma
B15.9,hepatitis a without hepatic coma
B16.0,acute hepatitis b with delta-agent with hepatic coma
B16.1,acute hepatitis b with delta-agent without hepatic coma
B16.2,acute hepatitis b without delta-agent with hepatic coma
B16.9,acute hepatitis b without delta-agent and without hepatic coma
B17.0,acute delta-(super) infection of hepatitis b carrier
B17.10,acute hepatitis c without hepatic coma
B17.11,acute hepatitis c with hepatic coma
B17.2,acute hepatitis e
B17.8,other specified acute viral hepatitis
B17.9,"acute viral hepatitis, unspecified"
B18.0,chronic viral hepatitis b with delta-agent
B18.1,chronic viral hepatitis b without delta-agent
B18.2,chronic viral hepatitis c
B18.8,other chronic viral hepatitis
B18.9,"chronic viral hepatitis, unspecified"
B19.0,unspecified viral hepatitis with hepatic coma
B19.10,unspecified viral hepatitis b without hepatic coma
B19.11,unspecified viral hepatitis b with hepatic coma
B19.20,unspecified viral hepatitis c without hepatic coma
B19.21,unspecified viral hepatitis c with hepatic coma
B19.9,unspecified viral hepatitis without hepatic coma
B20,human immunodeficiency virus [hiv] disease
B25.0,cytomegaloviral pneumonitis
B25.1,cytomegaloviral hepatitis
B25.2,cytomegaloviral pancreatitis
B25.8,other cytomegaloviral diseases
B25.9,"cytomegaloviral disease, unspecified"
B26.0,mumps orchitis
B26.1,mumps meningitis
B26.2,mumps encephalitis
B26.3,mumps pancreatitis
B26.81,mumps hepatitis
B26.82,mumps myocarditis
B26.83,mumps nephritis
B26.84,mumps polyneuropathy
B26.85,mumps arthritis
B26.89,other mumps complications
B26.9,mumps without complication
B27.00,gammaherpesviral mononucleosis without complication
B27.01,gammaherpesviral mononucleosis with polyneuropathy
B27.02,gammaherpesviral mononucleosis with meningitis
B27.09,gammaherpesviral mononucleosis with other complications
B27.10,cytomegaloviral mononucleosis without complications
B27.11,cytomegaloviral mononucleosis with polyneuropathy
B27.12,cytomegaloviral mononucleosis with meningitis
B27.19,cytomegaloviral mononucleosis with other complication
B27.80,other infectious mononucleosis without complication
B27.81,other infectious mononucleosis with polyneuropathy
B27.82,other infectious mononucleosis with meningitis
B27.89,other infectious mononucleosis with other complication
B27.90,"infectious mononucleosis, unspecified without complication"
B27.91,"infectious mononucleosis, unspecified with polyneuropathy"
B27.92,"infectious mononucleosis, unspecified with meningitis"
B27.99,"infectious mononucleosis, unspecified with other complication"
B30.0,keratoconjunctivitis due to adenovirus
B30.1,conjunctivitis due to adenovirus
B30.2,viral pharyngoconjunctivitis
B30.3,acute epidemic hemorrhagic conjunctivitis (enteroviral)
B30.8,other viral conjunctivitis
B30.9,"viral conjunctivitis, unspecified"
B33.0,epidemic myalgia
B33.1,ross river disease
B33.20,"viral carditis, unspecified"
B33.21,viral endocarditis
B33.22,viral myocarditis
B33.23,viral pericarditis
B33.24,viral cardiomyopathy
B33.3,"retrovirus infections, not elsewhere classified"
B33.4,hantavirus (cardio)-pulmonary syndrome [hps] [hcps]
B33.8,other specified viral diseases
B34.0,"adenovirus infection, unspecified"
B34.1,"enterovirus infection, unspecified"
B34.2,"coronavirus infection, unspecified"
B34.3,"parvovirus infection, unspecified"
B34.4,"papovavirus infection, unspecified"
B34.8,other viral infections of unspecified site
B34.9,"viral infection, unspecified"
B35.0,tinea barbae and tinea capitis
B35.1,tinea unguium
B35.2,tinea manuum
B35.3,tinea pedis
B35.4,tinea corporis
B35.5,tinea imbricata
B35.6,tinea cruris
B35.8,other dermatophytoses
B35.9,"dermatophytosis, unspecified"
B36.0,pityriasis versicolor
B36.1,tinea nigra
B36.2,white piedra
B36.3,black piedra
B36.8,other specified superficial mycoses
B36.9,"superficial mycosis, unspecified"
B37.0,candidal stomatitis
B37.1,pulmonary candidiasis
B37.2,candidiasis of skin and nail
B37.31,acute candidiasis of vulva and vagina
